,Null Count,Null Percentage (%),Dtype
PreRalmlperday,5518,99.26245727648858,object
PreRstocurrent,5517,99.24446842957366,float64
PreRdrinktype,5506,99.04659111350962,object
PreRallastmonthuse,5504,99.0106134196798,object
PreRlastmonthavg,5502,98.97463572584996,object
PreRstoyear,5501,98.95664687893506,float64
PreRalthreemonthsuse,5497,98.88469149127542,object
PreRalyear,5492,98.79474725670084,object
PreRtobsmoking,5491,98.77675840978594,object
PreRtobaverage,5489,98.7407807159561,float64
PreRstodailyuse,5486,98.68681417521137,float64
PreRdiaage,5477,98.52491455297715,float64
PreRdiastolicsecond,5438,97.82334952329556,float64
PreRsystolicsecond,5416,97.42759489116747,float64
PreRvigorousduration,5395,97.04982910595432,object
PreRmoderateduration,5314,95.59273250584639,object
PreRmildactivityduration,5272,94.83720093542004,object
PreRstsocialvalue,5266,94.72926785393057,float64
PreRstfinancialvalue,5245,94.3515020687174,float64
PreRstfamilyvalue,5241,94.27954668105775,float64
PreRsthealthvalue,5241,94.27954668105775,float64
PreRstworkvalue,5240,94.26155783414283,float64
PreRdiastolicfirst,5228,94.04569167116388,float64
diastolic,5215,93.81183666127001,float64
PreRsleepquality,5210,93.72189242669545,object
PreRdrink,5208,93.68591473286563,object
PreRpopcorn,5207,93.66792588595071,object
PreRsweet,5207,93.66792588595071,object
PreRstaplefood,5205,93.63194819212089,object
PreRmeat,5196,93.47004856988667,object
PreRfriedfood,5193,93.41608202914193,object
PreRpresentoccupation,5192,93.39809318222702,object
PreRhip,5191,93.38010433531211,float64
PreRlessvegetable,5188,93.32613779456736,object
PreRskipbreakfast,5188,93.32613779456736,object
PreRmilk,5187,93.30814894765246,object
PreRlessfruit,5180,93.18222701924806,object
PreRlessfiber,5177,93.12826047850334,object
PreRsystolicfirst,5163,92.87641662169455,float64
PreReducation,5162,92.85842777477964,object
systolic,5161,92.84043892786472,float64
PreRheight,5138,92.42669544882173,float64
PreRweight,5136,92.3907177549919,float64
PreRwaist,5115,92.01295196977874,float64
PreRtobdaily,5051,90.86166576722432,float64
PreRtobuse,5050,90.8436769203094,float64
PreRtobcurrent,5049,90.82568807339449,float64
PreRstouse,5049,90.82568807339449,float64
PreRcurrentworking,5049,90.82568807339449,float64
PreRtobdailyuse,5049,90.82568807339449,float64
PreRstodaily,5049,90.82568807339449,float64
PreRalcoholuse,5049,90.82568807339449,float64
PreRdiasister,5049,90.82568807339449,float64
PreRdiabrother,5049,90.82568807339449,float64
PreRdiafather,5049,90.82568807339449,float64
PreRdiamother,5049,90.82568807339449,float64
PreRalthreemonths,5049,90.82568807339449,float64
PreRallastmonth,5049,90.82568807339449,float64
PostRdiastolicsecond,3635,65.38945853570786,object
PostRsystolicsecond,3582,64.43604964921748,object
PostRdiastolicfirst,1792,32.23601367152366,object
PreBLPPBS,1676,30.149307429393772,float64
PostRsystolicfirst,1626,29.249865083648135,object
PreBLCHOLESTEROLLDL,399,7.177549919050189,float64
PreBLFBS,368,6.619895664687893,float64
PostBLHBA1C,285,5.126821370750135,float64
PreBLHBA1C,201,3.6157582298974638,float64
PreBLTRIGLYCERIDES,194,3.4898363014930744,float64
PreBLCHOLESTEROL,98,1.7629069976614498,float64
PreBLAge,95,1.7089404569167115,float64
postblage,95,1.7089404569167115,float64
PostRgroupname,1,0.017988846914912753,float64
PreRmaritalstatus,0,0.0,object
PreRgender,0,0.0,object
PreRarea,0,0.0,object
PhysicalActivity_Optimal,0,0.0,object
Diabetic_Duration(years),0,0.0,int64
Duration_Status,0,0.0,object
